resource_id,citation_key,short_label,year,setting,focal_task,H_capabilityAndRole,H_physicalState,H_action,H_intent,H_internalState,R_capabilityAndConfiguration,R_physicalState,R_action,R_intent,T_specification,T_structure,T_allocation,T_workObjectState,T_execution,E_geometricStructure,E_semanticContent,E_operatingConditions,I_modality,I_representationForm,I_unitOfObservation,I_measurementUnit,I_source,I_perspective,I_encodingMethod,I_spatialReference,I_temporalReference
RES-CON-0120-01,Li2024,Li2024,2024,not reported,curtain wall handling,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0122-01,Liu20242242,Liu2024,2024,laboratory mock-up,bricklaying,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported,reported,reported
RES-CON-0123-01,Chang2024593,Chang2024,2024,on-site,bricklaying,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0124-01,Liu2024571,Liu2024,2024,not reported,excavation,captured,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0125-01,Park2024453,Park2024,2024,not reported,panel installation,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0126-01,Yoon2024,Yoon2024,2024,not reported,Drywall cutting,captured,captured,captured,captured,captured,captured,notReported,captured,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0127-01,WOS:001118486000001,Pan2024,2024,not reported,scaffolding,notReported,notReported,captured,captured,notReported,captured,notReported,captured,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0128-01,Shah2024717,Shah2024,2024,not reported,lifting drywall; carrying drywall; holding drywall; mounting drywall,notReported,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0129-01,Cai2024579,Cai2024,2024,not reported,six assembly tasks,captured,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0130-01,Park2024,Park2024,2024,not reported,drywall installation,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,captured,notReported,notReported,captured,notReported,notReported,captured,captured,reported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported
RES-CON-0131-01,Pramanik2024124,Pramanik2024,2024,on-site,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,reported,reported,notReported
RES-CON-0132-01,Chauhan2024,Chauhan2024,2024,immersive/VR,bricklaying,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0133-01,Gong2024183,Gong2024,2024,not reported,assembly of construction walls using recycled materials,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0134-01,Shayesteh2024906,Shayesteh2024,2024,immersive/VR,collaborative bricklaying,captured,notReported,notReported,notReported,captured,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,reported,notReported,reported,notReported,notReported,notReported,reported
RES-CON-0135-01,WOS:001196835000079,Wang2024,2024,not reported,interlocking block assembly,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0137-01,You2024942,You2024,2024,not reported,not reported,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,reported,reported,notReported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0138-01,Chang2024821,Chang2024,2024,not reported,bricklaying,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,reported,notReported,reported,reported,reported
RES-CON-0139-01,Wu202490,Wu2024,2024,on-site,Reinforcement,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0140-01,Halder2024657,Halder2024,2024,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported,notReported,notReported
RES-CON-0141-01,Onososen2024121,Onososen2024,2024,immersive/VR,not reported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0142-01,Jang2024461,Jang2024,2024,not reported,not reported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,reported
RES-CON-0143-01,Onososen202375,Onososen2023,2023,immersive/VR,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0145-01,WOS:001105806000001,Chen2023,2023,laboratory mock-up,construction waste sorting,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,captured,captured,captured,notReported,captured,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0147-01,WOS:000988854500011,Yoon2023,2023,not reported,panel installation,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,captured,notReported,captured,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0149-01,Liu2023295,Liu2023,2023,not reported,not reported,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported,notReported,notReported,reported
RES-CON-0150-01,Wang2023,Wang2023,2023,laboratory mock-up,not reported,notReported,captured,captured,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,reported,reported,reported,notReported,reported,reported,reported,notReported,notReported
RES-CON-0151-01,Liu2023224,Liu2023,2023,not reported,brick-laying,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported
RES-CON-0153-01,Chen2023169,Chen2023,2023,not reported,CONCRETE PRINTING,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0154-01,Shayesteh2023255,Shayesteh2023,2023,not reported,masonry task,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported
RES-CON-0155-01,Pan2023,Pan2023,2023,not reported,scaffolding,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,reported,reported,notReported,notReported,reported,notReported,notReported
RES-CON-0156-01,González-Böhme2023,Gonzalez-Bohme2023,2023,immersive/VR,laying out joinery on the workpiece; cutting the joinery,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0158-01,Jang2023,Jang2023,2023,laboratory mock-up,not reported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0159-01,Yu2023,Yu2023,2023,not reported,object handover,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0163-01,Shen2023372,Shen2023,2023,not reported,Robotic Fabrication,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0164-01,Wu2023,Wu2023,2023,on-site,bricklaying,captured,notReported,notReported,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0165-01,Wang2023495,Wang2023,2023,laboratory mock-up,not reported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,reported,reported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0167-01,Shayesteh2022422,Shayesteh2022,2022,not reported,carrying concrete blocks; laying concrete blocks to build a concrete wall,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0168-01,Wu2022,Wu2022,2022,not reported,Brick Laying,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0171-01,Wang2022328,Wang2022,2022,laboratory mock-up,not reported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0172-01,Liu2022621,Liu2022,2022,not reported,bricklaying,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0173-01,Ziada2022111,Ziada2022,2022,not reported,window assembly,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0174-01,Shayesteh2022631,Shayesteh2022,2022,immersive/VR,brick-laying,notReported,captured,notReported,notReported,captured,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0175-01,Liu2022205,Liu2022,2022,simulation,materials-delivery,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0176-01,Liu2021,Liu2021,2021,not reported,not reported,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,reported,notReported,reported
RES-CON-0177-01,Liu2021,Liu2021,2021,laboratory mock-up,welding,captured,captured,captured,notReported,captured,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,reported,notReported,notReported,reported,notReported,reported
RES-CON-0178-01,Yoon2021491,Yoon2021,2021,not reported,not reported,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0179-01,Brosque20211,Brosque2021,2021,simulation,welding; sealing concrete precast joints,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0180-01,WOS:000878693200219,Suthar2021,2021,not reported,drilling and screwing on a small work piece; drilling and screwing on a big sheet; sheet fitting on the wall,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,reported,notReported
RES-CON-0181-01,Suthar2021899,Suthar2021,2021,not reported,holding; installation,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0186-01,Wang2021,Wang2021,2021,not reported,drywall installation,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0187-01,Xiang2021,Xiang2021,2021,laboratory mock-up,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,reported,reported,notReported,reported,reported,notReported,notReported,reported,notReported
RES-CON-0190-01,WOS:000600848100002,Jin2021,2021,not reported,not reported,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0191-01,Liu20211075,Liu2021,2021,not reported,bricklaying,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0193-01,Bruun2020320,Bruun2020,2020,not reported,construction of unplanned spatial structures,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0195-01,WOS:000714033801022,Wallace2020,2020,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0196-01,Wang20201528,Wang2020,2020,on-site,carpentry,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0200-01,Liang201980,Liang2019,2019,on-site,not reported,notReported,notReported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,captured,reported,reported,notReported,notReported,notReported,notReported,reported,notReported,reported
RES-CON-0201-01,Devadass2019469,Devadass2019,2019,on-site,timber space-frame assembly,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0202-01,Das2019171,Das2019,2019,not reported,Robotic Masonry,notReported,notReported,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0203-01,WOS:000488136600013,Tavares2019,2019,not reported,Welding,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0204-01,Reinhardt2019211,Reinhardt2019,2019,not reported,timber module assembly,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0205-01,Rossi2019201,Rossi2019,2019,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,reported,notReported
RES-CON-0206-01,Yan20191050,Yan2019,2019,not reported,curtain wall installation,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0207-01,Kim2019265,Kim2019,2019,not reported,not reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0208-01,Yousefizadeh2019213,Yousefizadeh2019,2019,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0209-01,WOS:000426225700009,Yu2018,2018,not reported,refractory construction,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0210-01,You2018161,You2018,2018,not reported,masonry task,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0211-01,Arruñada20181546,Arrunada2018,2018,not reported,Wall Mounting,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0213-01,Liang2018,Liang2018,2018,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-SHARED-DRYWALL-VULNERABILITY,Sam2026;Sam2024558,Sam2026;Sam2024,2024,on-site,Drywall Finishing,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-SHARED-HAND-MOTION,WOS:000796077100009;Zhou2022,Zhou2022;Zhou2022,2022,not reported,pipe skid maintenance,captured,captured,captured,captured,captured,captured,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,captured,notReported,reported,reported,notReported,reported,reported,notReported,reported,notReported,reported
